staircase_procedure.thisTrialN,staircase_procedure.stepSize,staircase_procedure.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,staircase_procedure.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,orientation,absolute orientation value
124,0.5,1,187.4533946,187.9537169,187.9537169,187.9537169,188.2536532,-1,0,6.4895135,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
125,0.5,1.5,194.4702087,194.9704874,194.9704874,194.9704874,195.2701033,1.5,1,0.5956229,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
126,0.5,1.5,195.586602,196.0871824,196.0871824,196.0871824,196.3866765,1.5,1,0.4909998,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
127,0.5,1.5,196.6034147,197.1037434,197.1037434,197.1037434,197.4033044,-1.5,1,0.5205643,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
128,0.5,1,197.6534931,198.1538338,198.1538338,198.1538338,198.4532766,1,1,0.7169757,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
129,0.5,1,198.8867243,199.3871327,199.3871327,199.3871327,199.6869617,-1,1,0.6955435,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
130,0.5,1,200.1031734,200.6039293,200.6039293,200.6039293,200.9036121,1,1,0.7276679,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
131,0.5,1,201.3531653,201.8536104,201.8536104,201.8536104,202.1534714,1,0,2.4830514,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
132,0.5,1.5,204.3532357,204.8539244,204.8539244,204.8539244,205.1534558,1.5,1,0.8289786,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
133,0.5,1.5,205.7030336,206.2037575,206.2037575,206.2037575,206.5035354,-1.5,1,0.8134507,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
134,0.5,1.5,207.0364637,207.5373454,207.5373454,207.5373454,207.836799,1.5,1,0.7037954,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
135,0.5,1,208.2700127,208.7708024,208.7708024,208.7708024,209.0707515,-1,1,0.6774725,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
